,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600162,香江控股,1.79,9.82,0.16,0.0,2.24,3.33,7.98,1.28亿,32.68亿,58.51亿,58.63
1,2,600743,华远地产,1.39,2.96,0.04,0.0,0.99,0.91,3.7,0.32亿,23.46亿,32.61亿,--
2,3,000656,*ST金科,1.44,2.86,0.04,0.0,3.86,0.96,7.14,2.90亿,53.10亿,76.46亿,--
3,4,600649,城投控股,4.12,2.49,0.1,-0.24,2.43,0.52,4.48,2.52亿,25.30亿,104.22亿,--
4,5,600692,亚通股份,5.12,2.4,0.12,0.0,4.3,0.68,3.8,0.56亿,2.55亿,13.06亿,20699.90
5,6,600266,城建发展,4.72,2.39,0.11,0.0,4.31,0.78,6.07,4.30亿,21.55亿,101.70亿,--
6,7,000029,深深房A,11.87,2.15,0.25,0.0,0.41,1.05,3.01,0.44亿,8.92亿,105.84亿,1582.90
7,8,600325,华发股份,7.15,2.14,0.15,0.0,1.87,0.76,3.29,3.43亿,25.71亿,183.84亿,14.10
8,9,600565,ST迪马,0.97,2.1,0.02,-1.02,2.72,1.24,8.42,0.64亿,24.92亿,24.17亿,--
9,10,600683,京投发展,4.17,1.21,0.05,0.0,2.23,0.62,3.64,0.68亿,7.41亿,30.89亿,--
10,11,600791,京能置业,3.65,1.11,0.04,0.28,2.04,0.75,3.6,0.33亿,4.52亿,16.51亿,--
11,12,000014,沙河股份,10.51,0.96,0.1,0.0,1.88,0.58,1.44,0.48亿,2.42亿,25.44亿,13.71
12,13,600185,格力地产,5.26,0.96,0.05,-0.19,0.6,0.7,2.11,0.59亿,18.85亿,99.15亿,--
13,14,600641,万业企业,12.63,0.96,0.12,-0.08,0.61,0.51,2.0,0.71亿,9.31亿,117.54亿,620.15
14,15,600208,新湖中宝,2.12,0.95,0.02,0.0,0.61,0.89,1.43,1.09亿,85.08亿,180.37亿,12.13
15,16,000006,深振业A,3.81,0.79,0.03,0.26,1.07,0.7,1.85,0.55亿,13.50亿,51.43亿,--
